timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1511948397365410 ,-5,2,5,-34,-5,10,4,1
1511948397373430 ,13,1,11,18,2,-2,-5,-4
1511948397373430 ,-7,-4,-9,-12,-8,-13,-10,-6
1511948397380490 ,6,0,-1,14,4,14,0,2
1511948397380490 ,-10,-5,-5,-15,-20,-8,0,-2
1511948397404050 ,-2,0,6,-16,7,6,1,1
1511948397404050 ,-5,-3,-21,-3,-6,-12,-3,0
1511948397405550 ,0,-2,21,13,18,-5,-3,-1
1511948397405550 ,-2,-2,-14,6,5,1,-3,-2
1511948397419090 ,4,0,3,-2,-9,-9,4,0
1511948397419090 ,-4,-3,4,-15,-5,4,3,-1
1511948397426610 ,2,0,-15,-12,3,3,-1,-1
1511948397426610 ,-1,0,4,-26,-1,2,3,0
1511948397441650 ,-8,-17,-31,-5,-19,-26,-8,-5
1511948397441650 ,-1,2,12,10,14,6,-1,0
1511948397443160 ,-3,-1,7,-11,3,10,-1,-2
1511948397443160 ,-2,5,-8,19,1,13,1,-1
1511948397456220 ,2,5,-1,-16,-20,-19,-3,0
1511948397456220 ,-2,-4,2,18,23,7,0,0
1511948397479250 ,0,3,26,-11,-11,-14,-3,-4
1511948397479250 ,-5,-10,-15,16,-15,-8,-3,-3
1511948397479750 ,5,3,4,-14,10,5,0,-1
1511948397479750 ,-1,-1,-4,13,-14,-3,-3,-1
1511948397494410 ,-5,0,5,-16,1,-15,-6,-4
1511948397494410 ,0,-2,-12,22,6,11,1,-1
1511948397494790 ,-1,4,17,26,17,3,3,1
1511948397494790 ,6,-1,-9,19,-3,-14,-4,-6
1511948397500430 ,1,-4,9,0,-4,30,-3,-1
1511948397500430 ,-1,-4,-21,-21,-5,-13,1,0
1511948397532890 ,-4,-6,-3,9,-2,0,-2,-1
1511948397532890 ,-6,5,11,-15,4,-2,-3,-1
1511948397533900 ,-2,-6,-17,15,-26,-71,-8,-2
1511948397533900 ,0,0,29,12,9,56,1,1
1511948397537910 ,1,5,0,-24,13,25,16,3
1511948397537910 ,-2,-1,-8,50,32,11,5,3
1511948397545450 ,-3,-2,-6,0,-4,-24,-2,-4
1511948397545450 ,5,4,16,-29,17,-31,-10,-6
1511948397562470 ,-9,-5,-6,22,-31,-13,-10,-5
1511948397562470 ,-2,-4,-5,-9,-1,15,4,0
1511948397563530 ,0,2,3,-22,38,38,5,0
1511948397563530 ,-1,1,-11,23,13,-22,-4,-1
1511948397583530 ,3,-2,-1,-16,-31,31,8,0
1511948397583530 ,-2,-3,17,-28,-4,-46,-5,-4
1511948397591070 ,-1,-5,-39,-15,-22,42,-3,-2
1511948397591070 ,0,0,7,-12,-13,-18,4,1
1511948397598070 ,-3,-1,6,4,13,-18,-9,-3
1511948397598070 ,0,2,9,-31,-31,1,-4,-2
1511948397605180 ,-3,-3,-15,26,11,3,1,-2
1511948397605180 ,1,1,-6,-10,-8,-2,-3,-1
1511948397628750 ,-2,-4,-5,-11,-10,-7,-6,-1
1511948397628750 ,-4,-8,-1,13,1,11,3,-2
1511948397629250 ,0,0,-3,-22,-7,-9,-3,-1
1511948397629250 ,2,-1,-4,17,-1,-2,1,-1
1511948397636770 ,-1,0,19,-5,14,1,-1,-1
1511948397636770 ,-5,-1,-12,-24,-9,-1,-4,-2
1511948397642780 ,-2,-2,-1,12,3,-4,0,-1
1511948397642780 ,-2,0,5,10,-6,9,3,-1
1511948397682920 ,-8,-3,-9,-18,6,-7,-2,-4
1511948397682920 ,0,-2,1,6,-6,-1,-4,-3
1511948397683890 ,-2,-1,-13,-2,-5,-4,-1,-1
1511948397683890 ,-1,3,18,14,-1,2,1,0
1511948397685400 ,3,-5,-15,-21,10,0,-3,-1
1511948397685400 ,-3,0,-6,5,-7,-12,-1,-1
1511948397687900 ,-2,-8,15,25,1,7,-4,-2
1511948397687900 ,7,-1,-3,6,4,3,-1,-1
1511948397696930 ,-7,0,3,-8,-18,-3,-2,-2
1511948397696930 ,-2,-6,-1,26,5,2,-2,0
1511948397703000 ,-1,1,-2,-36,-6,-8,3,-1
1511948397703000 ,3,-2,-6,-7,-2,0,-3,-1
1511948397718020 ,0,0,20,9,3,-2,-4,0
1511948397718020 ,-3,0,-21,-20,-9,0,-1,-3
1511948397733520 ,0,-2,2,9,-4,-3,-1,-1
1511948397733520 ,-5,-2,1,8,3,5,3,-2
1511948397748570 ,2,2,-6,2,4,-9,-2,-2
1511948397748570 ,2,-1,7,-3,-4,-9,-6,-1
1511948397749060 ,-5,1,2,-17,-2,-4,-3,-2
1511948397749060 ,1,-3,-6,-6,-8,5,1,-2
1511948397756580 ,-9,-3,5,-6,-6,-4,2,0
1511948397756580 ,-1,-5,-7,-3,11,9,0,-2
1511948397771120 ,-4,-3,-5,4,-10,-11,-2,-3
1511948397771120 ,1,1,3,2,-1,-1,-1,-2
1511948397777640 ,0,-1,-10,-10,14,-9,-7,-2
1511948397777640 ,-2,-3,7,15,-21,8,0,-2
1511948397803210 ,-1,1,-3,1,5,2,5,0
1511948397803210 ,-6,-2,-8,-4,-1,-7,-2,-2
1511948397804710 ,6,1,0,24,5,1,-1,-2
1511948397804710 ,-6,-3,-7,-51,-12,-7,-3,-2
1511948397805210 ,0,0,7,82,19,2,-2,-1
1511948397805210 ,3,-3,2,-11,-7,2,0,1
1511948397824770 ,1,-3,-14,-31,1,-2,-1,-4
1511948397824770 ,-1,-2,16,27,2,-4,-2,-2
1511948397825770 ,1,1,-8,-34,-10,1,-4,-3
1511948397825770 ,-6,-3,-4,14,6,-19,-4,-3
1511948397846820 ,-2,1,6,16,4,23,6,-1
1511948397846820 ,-2,-4,-27,-32,-14,-9,1,0
1511948397847330 ,-1,-4,4,1,-1,-5,-2,-2
1511948397847330 ,-2,-1,14,22,10,-11,-3,-2
1511948397860930 ,1,-6,-17,2,-14,-2,-2,0
1511948397860930 ,1,0,6,11,9,4,1,-2
1511948397861860 ,-3,-1,0,-16,1,5,0,0
1511948397861860 ,-2,-4,-9,1,-5,1,1,0
1511948397876900 ,-2,1,4,-9,-7,-3,-1,0
1511948397876900 ,-1,-3,-1,20,9,-3,-1,-1
1511948397882920 ,-2,-3,-5,-12,1,-4,-8,-4
1511948397882920 ,0,3,7,-25,-14,1,6,1
1511948397897960 ,0,-3,-2,1,2,-5,-1,-1
1511948397897960 ,-2,0,3,-14,-5,16,0,-1
1511948397913590 ,-1,-3,6,0,-1,-17,-3,-2
1511948397913590 ,-2,-1,-4,9,9,3,-6,-1
1511948397921110 ,1,1,-3,-11,-9,-2,-2,-2
1511948397921110 ,0,-6,-23,11,5,-8,0,-2
1511948397921620 ,-5,-5,3,-21,-15,4,-5,-2
1511948397921620 ,-1,-1,-7,10,12,0,1,0
1511948397936660 ,1,-1,1,-4,1,0,-3,0
1511948397936660 ,-1,-1,9,9,8,-6,-3,-1
1511948397942740 ,-1,-1,-5,-10,-18,-1,1,0
1511948397942740 ,-5,-1,2,5,-7,-3,-4,-2
1511948397957720 ,-3,-2,-10,0,2,-6,-3,-2
1511948397957720 ,-1,1,0,-6,-6,8,0,0
1511948397974880 ,1,-4,-6,5,4,6,-1,0
1511948397974880 ,-1,0,-7,-3,8,0,-2,-1
1511948397982280 ,-3,-2,6,8,-18,-10,-1,-1
1511948397982280 ,1,0,8,-20,2,-1,0,0
1511948397983280 ,-2,1,-5,10,13,2,-1,-1
1511948397983280 ,0,-3,-10,-2,6,6,-2,-1
1511948397996820 ,-4,0,0,-3,-18,-8,0,-1
1511948397996820 ,-4,-3,0,-7,-9,-12,-3,-1
1511948398010850 ,0,-1,0,-2,10,9,-2,-2
